Log#,Incident Date & Time,District of Occurrence,COPA Notification Date,Transparency Release Date,Closed Date,FSR/Memo Posted Date,case_url,pdf_available,pdf_url
2014-1069058,05/07/2014 12:17 am,18,05/09/2014,,11/25/2017,03/16/2023,https://www.chicagocopa.org/case/2014-1069058/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1076844,08/22/2015 11:45 am,19,08/24/2015,06/03/2016,03/22/2017,11/25/2022,https://www.chicagocopa.org/case/1076844/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1068271,03/29/2014 8:49 pm,09,03/29/2014,06/03/2016,08/16/2016,09/21/2016,https://www.chicagocopa.org/case/1068271/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2014-1068101,03/20/2014 6:42 pm,9,03/20/2014,06/03/2016,01/25/2018,02/23/2023,https://www.chicagocopa.org/case/2014-1068101/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2013-1066296,11/25/2013 7:55 pm,3,11/26/2013,,06/03/2016,03/16/2023,https://www.chicagocopa.org/case/2013-1066296/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1078789,01/07/2016 10:27 pm,9,01/07/2016,06/03/2016,10/21/2016,11/25/2022,https://www.chicagocopa.org/case/1078789/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1075866,08/27/2013 12:00 am,5,06/26/2015,06/03/2016,03/02/2018,11/15/2022,https://www.chicagocopa.org/case/1075866/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1077396,10/01/2015 6:31 pm,7,10/01/2015,06/03/2016,08/07/2016,11/25/2022,https://www.chicagocopa.org/case/1077396/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2015-1077146,09/14/2015 9:38 pm,15,09/14/2015,06/03/2016,05/10/2018,06/04/2018,https://www.chicagocopa.org/case/2015-1077146/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2015-1074984,05/03/2015 10:30 pm,25,05/04/2015,,06/28/2019,03/16/2023,https://www.chicagocopa.org/case/2015-1074984/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1071320,07/12/2014 10:30 pm,10,09/02/2014,06/03/2016,08/01/2019,01/04/2023,https://www.chicagocopa.org/case/1071320/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1079273,09/11/2015 12:22 am,10,02/16/2016,06/03/2016,03/31/2017,11/25/2022,https://www.chicagocopa.org/case/1079273/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2013-1060762,03/16/2013 2:55 am,17,03/16/2013,06/03/2016,12/30/2019,06/10/2020,https://www.chicagocopa.org/case/2013-1060762/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1079160,02/06/2016 12:00 pm,05,02/06/2016,06/03/2016,10/21/2016,12/22/2022,https://www.chicagocopa.org/case/1079160/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1079618,03/12/2016 12:40 am,01,03/12/2016,,03/30/2017,12/22/2022,https://www.chicagocopa.org/case/1079618/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2012-1057079,09/14/2012 9:33 pm,05,09/14/2012,06/03/2016,10/30/2020,01/26/2021,https://www.chicagocopa.org/case/2012-1057079/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
